Row,Column,File1_Value,File2_Value
1895,Diameter,5.3236499305533975,5.323649930553397
2271,Diameter,5.3236499305533975,5.323649930553397
2424,Diameter,5.3236499305533975,5.323649930553397
2507,Diameter,5.3236499305533975,5.323649930553397
2805,Diameter,5.3236499305533975,5.323649930553397
2883,Diameter,5.3236499305533975,5.323649930553397
3014,Diameter,5.3236499305533975,5.323649930553397
4219,Diameter,5.3236499305533975,5.323649930553397
4333,Diameter,11.242375955524658,11.24237595552466
4485,Diameter,5.3236499305533975,5.323649930553397
4678,Diameter,5.3236499305533975,5.323649930553397
4935,Diameter,5.3236499305533975,5.323649930553397
5668,Diameter,5.3236499305533975,5.323649930553397
5728,Diameter,5.3236499305533975,5.323649930553397
6069,Diameter,5.3236499305533975,5.323649930553397
6307,Diameter,5.3236499305533975,5.323649930553397
6489,Diameter,5.3236499305533975,5.323649930553397
6771,Diameter,5.3236499305533975,5.323649930553397
6952,Diameter,5.3236499305533975,5.323649930553397
7023,Diameter,5.3236499305533975,5.323649930553397
8776,Diameter,11.242375955524658,11.24237595552466
10115,Diameter,5.3236499305533975,5.323649930553397
10343,Diameter,5.3236499305533975,5.323649930553397
10642,Diameter,5.3236499305533975,5.323649930553397
11490,Diameter,5.3236499305533975,5.323649930553397
12854,Diameter,5.3236499305533975,5.323649930553397
14105,Diameter,5.3236499305533975,5.323649930553397
14158,Diameter,5.3236499305533975,5.323649930553397
14187,Diameter,5.3236499305533975,5.323649930553397
14947,Diameter,5.3236499305533975,5.323649930553397
15496,Diameter,5.3236499305533975,5.323649930553397
15756,Diameter,5.3236499305533975,5.323649930553397
15857,Diameter,5.3236499305533975,5.323649930553397
16158,Diameter,5.3236499305533975,5.323649930553397
16586,Diameter,5.3236499305533975,5.323649930553397
17141,Diameter,5.3236499305533975,5.323649930553397
17280,Diameter,5.3236499305533975,5.323649930553397
17350,Diameter,5.3236499305533975,5.323649930553397
18090,Diameter,5.3236499305533975,5.323649930553397
18460,Diameter,5.3236499305533975,5.323649930553397
19206,Diameter,5.3236499305533975,5.323649930553397
19288,Diameter,5.3236499305533975,5.323649930553397
19544,Diameter,5.3236499305533975,5.323649930553397
19667,Diameter,5.3236499305533975,5.323649930553397
20048,Diameter,5.3236499305533975,5.323649930553397
20451,Diameter,21.978565862088004,21.978565862088
24260,Diameter,5.3236499305533975,5.323649930553397
24360,Diameter,5.3236499305533975,5.323649930553397
24481,Diameter,5.3236499305533975,5.323649930553397
24947,Diameter,5.3236499305533975,5.323649930553397
25523,Diameter,5.3236499305533975,5.323649930553397
25854,Diameter,5.3236499305533975,5.323649930553397
26231,Diameter,5.3236499305533975,5.323649930553397
26640,Diameter,5.3236499305533975,5.323649930553397
27741,Diameter,5.3236499305533975,5.323649930553397
27857,Diameter,5.3236499305533975,5.323649930553397
28769,Diameter,5.3236499305533975,5.323649930553397
28973,Diameter,5.3236499305533975,5.323649930553397
29222,Diameter,5.3236499305533975,5.323649930553397
30058,Diameter,5.3236499305533975,5.323649930553397
30537,Diameter,11.242375955524658,11.24237595552466
33613,Diameter,11.242375955524658,11.24237595552466
33693,Diameter,5.3236499305533975,5.323649930553397
33996,Diameter,11.242375955524658,11.24237595552466
34580,Diameter,5.3236499305533975,5.323649930553397
35252,Diameter,11.242375955524658,11.24237595552466
